revenue_usd_millions,pitchbook_valuation_usd_millions,pitchbook_primary_industry_group,pitchbook_primary_industry_sector,pitchbook_verticals,pitchbook_hq_location,pitchbook_hq_country,pitchbook_last_financing_date,pitchbook_last_financing_size_usd_millions,pitchbook_last_financing_deal_type,employee_count_pitchbook,employee_count_linkedin_scraped,employee_count_crunchbase_range,company_size_category,crunchbase_revenue_range,crunchbase_industry_tags,crunchbase_industry_category,total_funding_usd,num_funding_rounds,avg_round_size_usd,total_investors,latest_funding_type,latest_funding_date,months_since_last_funding,funding_stage_encoded,country,state_region,city,founded_year,company_age_years,is_public,ipo_date,ipo_exchange,ipo_ticker,revenue_tier,is_pe_backed,num_pe_investors,ml_predicted_revenue,ml_prediction_confidence
5.43,1000.0,Software,Information Technology,"FinTech, TMT, SaaS, Mobile","Bengaluru, India",India,,,Secondary Transaction - Private,468.0,,,,r_00001000,,"Fitness, Health Care, Wellness",0,0,0,0,,,,,India,,,2018.0,7.0,False,,,,,True,1,,
6.8,50.0,Software,Information Technology,Gaming,"Austin, TX",United States,2024-10-18,,Buyout/LBO,250.0,,,,r_00050000,,"Gamification, Gaming, Online Games, PC Games",0,0,0,0,,,,,United States,,,2006.0,19.0,False,,,,,True,1,,
434.96,657.53,Commercial Services,Business Products and Services (B2B),Industrials,"Singapore, Singapore",Singapore,2025-10-06,5.43,PIPE,41358.0,,,,,,"Consulting, Human Resources, Recruiting",0,0,0,0,,,,,Singapore,,,1992.0,33.0,False,,,,,True,1,,
62.76,279.35,Consumer Non-Durables,Consumer Products and Services (B2C),E-Commerce,"Jakarta, Indonesia",Indonesia,2022-10-18,60.4,Later Stage VC,1500.0,,,,r_00001000,,"Apparel, E-Commerce, Fashion",0,0,0,0,,,,,Indonesia,,,2018.0,7.0,False,,,,,True,1,,
90.84,1692.0,Capital Markets/Institutions,Financial Services,FinTech,"San Francisco, CA",United States,2025-10-27,,Merger/Acquisition,344.0,,,,r_00010000,,"Industrial, Manufacturing, Mechanical Engineering",0,0,0,0,,,,,United States,,,,,False,,,,,True,1,,
5.4,62.0,Software,Information Technology,"Big Data, Space Technology","San Francisco, CA",United States,2025-07-15,3.5,Mezzanine,39.0,,,,r_00001000,,"Aerospace, Information Technology, Satellite Communication",0,0,0,0,,,,,United States,,,2016.0,9.0,False,,,,,True,1,,
120.0,1336.16,Software,Information Technology,"Mobile Commerce, B2B Payments, FinTech, SaaS","Singapore, Singapore",Singapore,2024-06-04,52.0,Later Stage VC,997.0,,,,r_00100000,,"Finance, Financial Services, FinTech, Payments",0,0,0,0,,,,,Singapore,,,2014.0,11.0,False,,,,,True,1,,
651.6,6103.67,Capital Markets/Institutions,Financial Services,,"Paris, France",France,2024-06-27,,PIPE,747.0,,,,r_00500000,,Venture Capital,0,0,0,0,,,,,France,,,2004.0,21.0,True,,epa,,,True,1,,
8.75,46.33,Software,Information Technology,"SaaS, Marketing Tech, Mobile Commerce, Mobile","Petaling Jaya, Malaysia",Malaysia,2025-05-06,22.5,Later Stage VC,382.0,,,,r_00010000,,"Android, CRM, E-Commerce, E-Commerce Platforms, iOS",0,0,0,0,,,,,Malaysia,,,2013.0,12.0,False,,,,,True,1,,
9.06,123.55,Software,Information Technology,"Mobile, Cybersecurity","Singapore, Singapore",Singapore,,,Accelerator/Incubator,100.0,,,,r_00100000,,"Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",0,0,0,0,,,,,Singapore,,,2015.0,10.0,False,,,,,True,1,,
100.0,250.0,Consumer Non-Durables,Consumer Products and Services (B2C),,"Los Angeles, CA",United States,2024-04-01,,Secondary Transaction - Private,317.0,,,,r_00100000,,"Food and Beverage, Nutrition, Organic Food",0,0,0,0,,,,,United States,,,2010.0,15.0,False,,,,,True,1,,
2.77,250.0,Textiles,Materials and Resources,"Climate Tech, LOHAS & Wellness","Emeryville, CA",United States,2025-08-14,4.25,PIPE,14.0,,,,r_00001000,,"Beauty, Biotechnology, Manufacturing, Personal Care and Hygiene",0,0,0,0,,,,,United States,,,2009.0,16.0,True,,nasdaq,,,True,1,,
100.0,,IT Services,Information Technology,Cybersecurity,"Singapore, Singapore",Singapore,2018-09-05,,Merger of Equals,825.0,,,,r_00100000,,"Cloud Security, Consulting, Cyber Security, Identity Management, Information and Communications Technology (ICT)",0,0,0,0,,,,,Singapore,,,2018.0,7.0,False,,,,,True,1,,
10.0,300.0,Commercial Services,Business Products and Services (B2B),"Life Sciences, Artificial Intelligence & Machine Learning","South San Francisco, CA",United States,2024-07-01,,PE Growth/Expansion,91.0,,,,r_00010000,,"Artificial Intelligence (AI), Biotechnology, Food and Beverage, Pharmaceutical, Wellness",0,0,0,0,,,,,United States,,,2017.0,8.0,False,,,,,True,1,,
155.51,422.69,Commercial Services,Business Products and Services (B2B),"Artificial Intelligence & Machine Learning, Supply Chain Tech","Jakarta, Indonesia",Indonesia,2025-06-19,9.5,Later Stage VC,369.0,,,,r_00001000,,"E-Commerce, Freight Service, Logistics, Supply Chain Management, Transportation",0,0,0,0,,,,,Indonesia,,,2017.0,8.0,False,,,,,True,1,,
3.5,115.0,Software,Information Technology,"Advanced Manufacturing, Artificial Intelligence & Machine Learning, SaaS","San Francisco, CA",United States,,,Accelerator/Incubator,104.0,,,,r_00001000,,"Artificial Intelligence (AI), Business Information Systems, Cloud Data Services, Machine Learning, SaaS",0,0,0,0,,,,,United States,,,2018.0,7.0,False,,,,,True,1,,
143.92,7178.21,"Exploration, Production and Refining",Energy,"Infrastructure, LOHAS & Wellness, CleanTech","Paris, France",France,2025-03-19,,Secondary Transaction - Open Market,450.0,,,,r_00500000,,"Energy, Finance, Renewable Energy",0,0,0,0,,,,,France,,,2008.0,17.0,True,,epa,,,True,1,,
1214.55,1500.0,Chemicals and Gases,Materials and Resources,"Industrials, Manufacturing","Kongens Lyngby, Denmark",Denmark,2024-05-01,214.45,Debt - General,2800.0,,,,r_00100000,,Energy,0,0,0,0,,,,,Denmark,,,,,False,,,,,True,1,,
17.62,430.0,Pharmaceuticals and Biotechnology,Healthcare,Life Sciences,"Waltham, MA",United States,2025-03-31,0.63,Later Stage VC,150.0,,,,r_00001000,,"Biotechnology, Clinical Trials, Health Diagnostics, Therapeutics",0,0,0,0,,,,,United States,,,2007.0,18.0,False,,,,,True,1,,
120.86,1621.6,Pharmaceuticals and Biotechnology,Healthcare,Life Sciences,"South San Francisco, CA",United States,2020-07-02,1621.6,Merger/Acquisition,408.0,,,,r_00010000,,"Biopharma, Biotechnology, Therapeutics",0,0,0,0,,,,,United States,,,2003.0,22.0,True,,nasdaq,,,True,2,,
311.56,11000.0,Consumer Durables,Consumer Products and Services (B2C),"E-Commerce, Wearables & Quantified Self, Internet of Things, Digital Health","Oulu, Finland",Finland,2025-10-14,907.7,Later Stage VC,900.0,,,,,,"B2C, Health Care, Internet of Things, Mobile Apps, Wearables",0,0,0,0,,,,,Finland,,,2013.0,12.0,False,,,,,True,1,,
20.0,607.0,Semiconductors,Information Technology,"Industrials, Climate Tech, CleanTech","Durham, NC",United States,,,Secondary Transaction - Private,129.0,,,,r_00010000,,"Hardware, Industrial, Semiconductor",0,0,0,0,,,,,United States,,,2008.0,17.0,False,,,,,True,1,,
25.5,5000.0,Semiconductors,Information Technology,"TMT, Big Data, Artificial Intelligence & Machine Learning, SaaS","Palo Alto, CA",United States,,,Merger/Acquisition,500.0,,,,r_00001000,,"Analytics, Information Technology",0,0,0,0,,,,,United States,,,1972.0,53.0,False,,,,,True,1,,
3.77,800.0,Semiconductors,Information Technology,"SaaS, Artificial Intelligence & Machine Learning, Mobility Tech, TMT","El Dorado Hills, CA",United States,2025-01-13,894.0,Reverse Merger,321.0,,,,r_00001000,,"Artificial Intelligence (AI), Computer Vision, Information Technology, Service Industry",0,0,0,0,,,,,United States,,,2010.0,15.0,True,,nasdaq,,,True,1,,
355.99,154.32,Software,Information Technology,"Supply Chain Tech, AgTech, Artificial Intelligence & Machine Learning, Mobile","Patna, India",India,2024-10-07,100.0,Later Stage VC,1340.0,,,,r_00500000,,"Agriculture, AgTech, Farming, Productivity Tools",0,0,0,0,,,,,India,,,2012.0,13.0,False,,,,,True,1,,
573.33,,Media,Consumer Products and Services (B2C),TMT,"Singapore, Singapore",Singapore,,,Buyout/LBO,3441.0,,,,r_00010000,,"Education, Information Technology",0,0,0,0,,,,,Singapore,,,,,False,,,,,True,1,,
2.65,,Commercial Services,Business Products and Services (B2B),"Legal Tech, TMT","Bellaire, TX",United States,2015-07-02,,Buyout/LBO,80.0,,,,,,"Legal, Risk Management, Software",0,0,0,0,,,,,United States,,,1989.0,36.0,False,,,,,True,1,,
8.0,76.57,Consumer Non-Durables,Consumer Products and Services (B2C),"LOHAS & Wellness, Climate Tech, FoodTech","Singapore, Singapore",Singapore,,,Secondary Transaction - Private,37.0,,,,r_00001000,,"Corporate Training, Media and Entertainment, Training",0,0,0,0,,,,,Singapore,,,2016.0,9.0,False,,,,,True,1,,
6.7,1941.87,Healthcare Technology Systems,Healthcare,Artificial Intelligence & Machine Learning,"London, United Kingdom",United Kingdom,,,Merger/Acquisition,342.0,,,,r_00001000,,"Artificial Intelligence (AI), Big Data, Biotechnology, Machine Learning, Pharmaceutical",0,0,0,0,,,,,United Kingdom,,,2013.0,12.0,True,,ams,,,True,1,,
140.27,4452.83,Communications and Networking,Information Technology,TMT,"Navi Mumbai, India",India,2017-11-16,,Merger/Acquisition,547.0,,,,r_00100000,,"Mobile, Telecommunications, Wireless",0,0,0,0,,,,,India,,,1996.0,29.0,True,,nse,,,True,1,,
1.37,86.23,Agriculture,Materials and Resources,"Supply Chain Tech, AgTech, Life Sciences","Norwich, United Kingdom",United Kingdom,,,Secondary Transaction - Private,160.0,,,,r_00010000,,"Agriculture, Biotechnology",0,0,0,0,,,,,United Kingdom,,,2016.0,9.0,False,,,,,True,1,,
383.94,363.48,Software,Information Technology,"E-Commerce, Artificial Intelligence & Machine Learning, SaaS, Mobile, TMT","Ho Chi Minh, Vietnam",Vietnam,2023-01-05,,IPO,3232.0,,,,r_00100000,,"Internet, Software",0,0,0,0,,,,,Vietnam,,,2004.0,21.0,False,,,,,True,2,,
7.98,,Agriculture,Materials and Resources,"AgTech, Climate Tech, LOHAS & Wellness","Paris, France",France,2024-10-13,11.8,Grant,283.0,,,,r_00100000,,"Agriculture, Alternative Protein, Animal Feed, Biotechnology, Farming",0,0,0,0,,,,,France,,,2016.0,9.0,False,,,,,True,1,,
355.4,407.5,Energy Equipment,Energy,Oil & Gas,"Fort Worth, TX",United States,2022-03-04,407.5,Buyout/LBO,940.0,,,,r_00001000,,"Logistics, Shipping, Transportation",0,0,0,0,,,,,United States,,,1989.0,36.0,False,,,,,True,1,,
3.44,60.42,Retail,Consumer Products and Services (B2C),"Mobile, E-Commerce","Makati, Philippines",Philippines,2023-11-20,9.41,Early Stage VC,181.0,,,,r_00001000,,"Consumer Goods, E-Commerce, Retail",0,0,0,0,,,,,Philippines,,,2019.0,6.0,False,,,,,True,1,,
200.0,1350.0,Media,Consumer Products and Services (B2C),,"Singapore, Singapore",Singapore,2024-10-15,50.0,PE Growth/Expansion,492.0,,,,r_00010000,,"Art, eSports",0,0,0,0,,,,,Singapore,,,2011.0,14.0,False,,,,,True,1,,
700.0,494.12,Commercial Products,Business Products and Services (B2B),"TMT, AgTech, Manufacturing, Supply Chain Tech","Gvat, Israel",Israel,2023-04-03,,Debt - Acquisition,3000.0,,,,r_00100000,,"Agriculture, Farming",0,0,0,0,,,,,Israel,,,1966.0,59.0,False,,,,,True,1,,
1000.0,,Agriculture,Materials and Resources,FoodTech,"Sydney, Australia",Australia,2023-04-07,,Buyout/LBO,2000.0,,,,r_00010000,,"Agriculture, Farming, Fruit",0,0,0,0,,,,,Australia,,,1978.0,47.0,False,,,,,True,1,,
44.68,945.38,Transportation,Consumer Products and Services (B2C),"Climate Tech, Supply Chain Tech, Manufacturing, Mobility Tech","Stockholm, Sweden",Sweden,2025-10-01,100.0,Later Stage VC,381.0,,,,r_00001000,,"Autonomous Vehicles, Electric Vehicle, Logistics, Transportation",0,0,0,0,,,,,Sweden,,,2016.0,9.0,False,,,,,True,1,,
841.06,2168.72,Software,Information Technology,"FinTech, Mobile Commerce, E-Commerce","Noida, India",India,2025-08-05,126.65,Secondary Transaction - Private,39368.0,,,,r_00500000,,"E-Commerce, Finance, FinTech, Internet, Mobile Apps",0,0,0,0,,,,,India,,,2010.0,15.0,False,,,,,True,2,,
12.2,383.56,Pharmaceuticals and Biotechnology,Healthcare,"Life Sciences, Oncology","Watertown, MA",United States,2024-03-04,,Merger/Acquisition,53.0,,,,r_00000000,,,0,0,0,0,,,,,United States,,,,,True,,nyse,,,True,1,,
22.53,1000.0,Software,Information Technology,"FinTech, Mobile","London, United Kingdom",United Kingdom,2024-10-04,50.0,Later Stage VC,273.0,,,,r_00010000,,"Banking, Developer Tools, Financial Services, FinTech, Payments",0,0,0,0,,,,,United Kingdom,,,2016.0,9.0,False,,,,,True,1,,
988.25,129.34,Commercial Services,Business Products and Services (B2B),TMT,"Mumbai, India",India,2012-10-25,97.01,Merger/Acquisition,24751.0,,,,r_00010000,,"Medical Device, Retail",0,0,0,0,,,,,India,,,,,False,,,,,True,1,,
60.1,1350.0,Software,Information Technology,"SaaS, Internet of Things, Advanced Manufacturing, Artificial Intelligence & Machine Learning, TMT","Pleasanton, CA",United States,,0.14,Equity Crowdfunding,295.0,,,,r_00100000,,,0,0,0,0,,,,,United States,,,,,False,,,,,True,1,,
6.78,235.3,Software,Information Technology,"E-Commerce, FinTech, SaaS, Marketing Tech","Gurugram, India",India,,,Secondary Transaction - Private,697.0,,,,r_00100000,,,0,0,0,0,,,,,India,,,,,False,,,,,True,1,,
10.88,55.13,Software,Information Technology,"FinTech, Artificial Intelligence & Machine Learning, SaaS","London, United Kingdom",United Kingdom,2022-08-24,21.0,Later Stage VC,104.0,,,,r_00000000,,"Analytics, Financial Services, FinTech, Information Technology",0,0,0,0,,,,,United Kingdom,,,2017.0,8.0,False,,,,,True,1,,
74.01,238.0,Software,Information Technology,"TMT, FinTech, Mobile Commerce, Mobile","Vancouver, Canada",Canada,2017-07-01,238.0,Merger/Acquisition,180.0,,,,r_00050000,,"Billing, Financial Services, Payments",0,0,0,0,,,,,Canada,,,1997.0,28.0,True,,cve,,,True,1,,
146.0,,IT Services,Information Technology,TMT,"Zug, Switzerland",Switzerland,2019-01-01,,Secondary Transaction - Private,6008.0,,,,r_00010000,,"Analytics, Big Data, Data Management",0,0,0,0,,,,,Switzerland,,,,,False,,,,,True,1,,
70.62,647.21,Software,Information Technology,SaaS,"London, United Kingdom",United Kingdom,2025-01-31,647.21,Merger/Acquisition,481.0,,,,r_00010000,,"Enterprise Software, Information Technology, IT Infrastructure, IT Management, SaaS",0,0,0,0,,,,,United Kingdom,,,1997.0,28.0,False,,,,,True,1,,
525.7,,Commercial Services,Business Products and Services (B2B),AdTech,"Amsterdam, Netherlands",Netherlands,2020-01-29,,Buyout/LBO,4000.0,,,,r_00100000,,"Advertising, Brand Marketing, Digital Marketing, Internet, Marketing",0,0,0,0,,,,,Netherlands,,,,,False,,,,,True,1,,
2.9,,Software,Information Technology,"SaaS, FinTech, Big Data","New York, NY",United States,2022-10-11,20.0,Later Stage VC,135.0,,,,r_00001000,,"Cloud Data Services, FinTech, Software",0,0,0,0,,,,,United States,,,2016.0,9.0,False,,,,,True,1,,
12.0,,IT Services,Information Technology,"Marketing Tech, TMT","Portland, OR",United States,2019-08-05,,Buyout/LBO,,,,,r_00010000,,"Digital Media, Product Design, Product Search",0,0,0,0,,,,,United States,,,,,False,,,,,True,1,,
51.0,115.18,Other Financial Services,Financial Services,"FinTech, TMT","McLean, VA",United States,2015-11-16,115.18,Merger/Acquisition,384.0,,,,,,,0,0,0,0,,,,,United States,,,2007.0,18.0,False,,,,,True,1,,
84.0,183.41,Communications and Networking,Information Technology,"SaaS, TMT, Mobile","Logrono, Spain",Spain,2013-08-19,183.41,Merger/Acquisition,444.0,,,,r_00000000,,"Industrial, Robotic Process Automation (RPA), Robotics",0,0,0,0,,,,,Spain,,,1992.0,33.0,False,,,,,True,1,,
24.0,,Software,Information Technology,TMT,"Dallas, TX",United States,2019-04-17,,Buyout/LBO,350.0,,,,r_00050000,,"Energy, Enterprise Software, Risk Management",0,0,0,0,,,,,United States,,,,,False,,,,,True,1,,
546.29,753.2,Consumer Non-Durables,Consumer Products and Services (B2C),Manufacturing,"Adelaide, Australia",Australia,2025-04-28,438.24,Debt - Acquisition,1600.0,,,,r_00001000,,"Food and Beverage, Wholesale, Wine And Spirits",0,0,0,0,,,,,Australia,,,,,False,,,,,True,1,,
257.45,844.58,"Restaurants, Hotels and Leisure",Consumer Products and Services (B2C),,"Santo André, Brazil",Brazil,2023-06-27,112.69,Public Investment 2nd Offering,2478.0,,,,r_00100000,,"Hospital, Hotel, Resorts, Tourism, Travel",0,0,0,0,,,,,Brazil,,,1972.0,53.0,True,,bvmf,,,True,1,,
27.0,300.27,Software,Information Technology,,"Scotts Valley, CA",United States,2023-10-02,300.27,Merger/Acquisition,,,,,r_00010000,,"Apps, Social Media, Software",0,0,0,0,,,,,United States,,,1999.0,26.0,False,,,,,True,1,,
31.11,100.0,Software,Information Technology,TMT,"Paris, France",France,2018-12-04,100.0,Buyout/LBO,76.0,,,,,,"Computer, Customer Service, Data Governance, Data Management, Software",0,0,0,0,,,,,France,,,2000.0,25.0,False,,,,,True,1,,
200.2,73.5,Software,Information Technology,"TMT, SaaS, Marketing Tech","Westlake, TX",United States,2021-06-07,,Buyout/LBO,1045.0,,,,r_00100000,,"Automotive, CRM, Digital Marketing",0,0,0,0,,,,,United States,,,2001.0,24.0,False,,,,,True,2,,
222.7,427.2,Healthcare Services,Healthcare,,"Swedesboro, NJ",United States,2021-12-15,236.0,Buyout/LBO,267.0,,,,r_00010000,,Biotechnology,0,0,0,0,,,,,United States,,,1900.0,125.0,False,,,,,True,1,,
70.9,536.97,Software,Information Technology,"CloudTech & DevOps, TMT","London, United Kingdom",United Kingdom,2019-04-18,536.97,Merger/Acquisition,300.0,,,,r_00001000,,"Financial Services, Information Technology, Venture Capital",0,0,0,0,,,,,United Kingdom,,,2007.0,18.0,False,,,,,True,1,,
2.1,,Other Financial Services,Financial Services,,"London, United Kingdom",United Kingdom,2023-01-31,,Buyout/LBO,107.0,,,,,,"Cryptocurrency, FinTech",0,0,0,0,,,,,United Kingdom,,,,,False,,,,,True,1,,
24.5,85.0,Commercial Products,Business Products and Services (B2B),Manufacturing,"Newberg, OR",United States,2023-07-20,85.0,Buyout/LBO,130.0,,,,r_00010000,,"Alternative Protein, Food and Beverage, Food Processing, Manufacturing, Snack Food",0,0,0,0,,,,,United States,,,1892.0,133.0,False,,,,,True,2,,
251.25,280.88,Capital Markets/Institutions,Financial Services,,"Amsterdam, Netherlands",Netherlands,2013-06-04,112.35,Secondary Transaction - Private,265.0,,,,r_00100000,,"Finance, Financial Services, Venture Capital",0,0,0,0,,,,,Netherlands,,,1999.0,26.0,False,,,,,True,1,,
11.0,,Commercial Services,Business Products and Services (B2B),Digital Health,"Arlington, VA",United States,2021-09-20,,Buyout/LBO,214.0,,,,r_00001000,,"Health Care, Information Technology, mHealth, Online Portals",0,0,0,0,,,,,United States,,,,,False,,,,,True,1,,
745.0,1330.0,Insurance,Financial Services,"FinTech, TMT, InsurTech","Jersey City, NJ",United States,2019-09-04,,Buyout/LBO,5000.0,,,,,,Insurance,0,0,0,0,,,,,United States,,,,,False,,,,,True,1,,
2.7,,Commercial Services,Business Products and Services (B2B),,"Santa Clara, CA",United States,2008-08-26,,Merger/Acquisition,25.0,,,,,,"Finance, Financial Services, Software",0,0,0,0,,,,,United States,,,,,False,,,,,True,1,,
247.5,37.0,Software,Information Technology,"SaaS, TMT, Marketing Tech, AdTech","New York, NY",United States,2016-06-09,,General Corporate Purpose,1100.0,,,,r_00100000,,"Advertising, Content Creators, Creative Agency",0,0,0,0,,,,,United States,,,,,False,,,,,True,1,,
284.63,159.56,Consumer Durables,Consumer Products and Services (B2C),Manufacturing,"Milan, Italy",Italy,2018-09-12,,Buyout/LBO,600.0,,,,,,"3D Printing, Furniture, Manufacturing",0,0,0,0,,,,,Italy,,,,,False,,,,,True,1,,
750.0,1500.0,Commercial Services,Business Products and Services (B2B),,"Pittsburgh, PA",United States,2025-10-14,1500.0,Buyout/LBO,3500.0,,,,r_00100000,,Information Technology,0,0,0,0,,,,,United States,,,2000.0,25.0,False,,,,,True,1,,
103.95,95.66,Pharmaceuticals and Biotechnology,Healthcare,"TMT, Oncology, Life Sciences","Somerville, MA",United States,2025-05-29,95.66,Buyout/LBO,450.0,,,,r_00001000,,"Biotechnology, Life Science, Pharmaceutical, Therapeutics",0,0,0,0,,,,,United States,,,2017.0,8.0,False,,,,,True,1,,
52.28,138.12,Commercial Products,Business Products and Services (B2B),"CleanTech, Manufacturing, TMT","Jyvaskyla, Finland",Finland,2022-04-25,,Buyout/LBO,400.0,,,,r_00100000,,"Machinery Manufacturing, Manufacturing, Wind Energy",0,0,0,0,,,,,Finland,,,,,False,,,,,True,1,,
192.44,2850.0,Communications and Networking,Information Technology,"TMT, Mobile","Tampa, FL",United States,2025-03-04,13.96,Debt - General,2179.0,,,,r_00500000,,"Messaging, Mobile, Professional Services, Software, Telecommunications",0,0,0,0,,,,,United States,,,1987.0,38.0,True,,nyse,,,True,1,,
65.92,63.15,IT Services,Information Technology,TMT,"Chennai, India",India,2022-06-22,,Secondary Transaction - Private,4817.0,,,,,,Outsourcing,0,0,0,0,,,,,India,,,1998.0,27.0,True,,bom,,,True,1,,
343.58,1295.95,Healthcare Services,Healthcare,,"Bengaluru, India",India,2025-06-04,169.44,Secondary Transaction - Open Market,4485.0,,,,r_00100000,,"Health Care, Information Technology",0,0,0,0,,,,,India,,,1998.0,27.0,True,,nse,,,True,1,,
1261.96,2854.49,Commercial Products,Business Products and Services (B2B),"Manufacturing, Industrials",PA,United States,2025-07-24,2854.49,Buyout/LBO,4800.0,,,,r_01000000,,"Aerospace, Industrial, Manufacturing",0,0,0,0,,,,,United States,,,1993.0,32.0,True,,nyse,,,True,2,,
3.1,92.0,Commercial Services,Business Products and Services (B2B),Industrials,"Oakbrook Terrace, IL",United States,2007-07-02,92.0,Buyout/LBO,160.0,,,,,,"Health Care, Medical",0,0,0,0,,,,,United States,,,,,False,,,,,True,2,,
14.4,58.29,Software,Information Technology,"Industrials, TMT, SaaS","Fairfield, NJ",United States,2015-12-22,,Buyout/LBO,201.0,,,,r_00050000,,"Data Storage, Document Management, Enterprise Software, Information Services, Information Technology",0,0,0,0,,,,,United States,,,1991.0,34.0,False,,,,,True,1,,
76.11,356.0,Semiconductors,Information Technology,"Cybersecurity, TMT, Mobile","Melbourne, FL",United States,2012-07-27,356.0,Merger/Acquisition,217.0,,,,,,"Biometrics, Cyber Security, Identity Management, Mobile, NFC",0,0,0,0,,,,,United States,,,1998.0,27.0,True,,nasdaq,,,True,1,,
10.62,1748.68,Commercial Services,Business Products and Services (B2B),"FinTech, SaaS","London, United Kingdom",United Kingdom,2019-07-01,1748.68,Buyout/LBO,1300.0,,,,r_00100000,,"Financial Services, Media and Entertainment",0,0,0,0,,,,,United Kingdom,,,2000.0,25.0,False,,,,,True,1,,
909.94,2450.0,Commercial Services,Business Products and Services (B2B),,"Lexington, KY",United States,2025-09-01,,Accelerator/Incubator,3027.0,,,,,,"Health Care, Pharmaceutical, Therapeutics",0,0,0,0,,,,,United States,,,1988.0,37.0,False,,,,,True,1,,
18.2,,Software,Information Technology,"SaaS, TMT, HR Tech","Austin, TX",United States,2019-11-22,34.8,Debt - General,213.0,,,,r_00050000,,"Education, Government, Software",0,0,0,0,,,,,United States,,,2000.0,25.0,False,,,,,True,1,,
84.4,350.0,Software,Information Technology,"TMT, EdTech, SaaS","Washington, DC",United States,2023-04-30,3.16,Debt - General,3092.0,,,,r_00500000,,"Education, Enterprise Software, Information Technology, Software",0,0,0,0,,,,,United States,,,1997.0,28.0,True,,nasdaq,,,True,1,,
93.09,1000.0,IT Services,Information Technology,"SaaS, Cybersecurity, TMT, Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps","McLean, VA",United States,2021-08-19,1000.0,Merger/Acquisition,1300.0,,,,r_00100000,,"National Security, Software",0,0,0,0,,,,,United States,,,1996.0,29.0,False,,,,,True,1,,
1.77,0.89,Commercial Products,Business Products and Services (B2B),"Industrials, Manufacturing","Belgrade, MT",United States,2002-03-13,0.89,Buyout/LBO,6.0,,,,r_00000000,,"Finance, Financial Services, Lending",0,0,0,0,,,,,United States,,,2015.0,10.0,False,,,,,True,2,,
5.3,,Commercial Services,Business Products and Services (B2B),,"Houston, TX",United States,2013-08-19,,Buyout/LBO,100.0,,,,r_00010000,,"Automotive, Banking, Email Marketing, SaaS, Software",0,0,0,0,,,,,United States,,,1999.0,26.0,False,,,,,True,1,,
3.69,18.0,IT Services,Information Technology,"SaaS, Big Data, TMT","Rockville, MD",United States,2015-03-05,18.0,Merger/Acquisition,27.0,,,,,,"Analytics, Enterprise Software, Information Technology, Software, Virtual Reality",0,0,0,0,,,,,United States,,,1999.0,26.0,False,,,,,True,1,,
12.0,,Commercial Products,Business Products and Services (B2B),"Manufacturing, Industrials","Stuart, FL",United States,2023-02-16,,Buyout/LBO,330.0,,,,r_00500000,,"Aerospace, Industrial Design, Industrial Engineering, Industrial Manufacturing, Marine Technology",0,0,0,0,,,,,United States,,,1951.0,74.0,False,,,,,True,1,,
49.18,87.76,Consumer Non-Durables,Consumer Products and Services (B2C),,"London, United Kingdom",United Kingdom,2025-06-18,87.76,Merger/Acquisition,270.0,,,,r_00050000,,"E-Commerce, Food and Beverage, Food Delivery, Organic Food, Real Estate",0,0,0,0,,,,,United Kingdom,,,2008.0,17.0,False,,,,,True,1,,
59.29,1082.48,IT Services,Information Technology,,"Barcelona, Spain",Spain,2024-07-25,649.49,Buyout/LBO,10000.0,,,,r_00000000,,"Information Services, Information Technology, Software",0,0,0,0,,,,,Spain,,,1982.0,43.0,False,,,,,True,1,,
56.0,410.0,IT Services,Information Technology,"FinTech, TMT","Minneapolis, MN",United States,2016-12-09,410.0,Buyout/LBO,,,,,r_00001000,,"Business Information Systems, Data Center Automation, Data Storage",0,0,0,0,,,,,United States,,,1985.0,40.0,False,,,,,True,2,,
597.4,218.0,Commercial Services,Business Products and Services (B2B),,"Dayton, OH",United States,2020-04-01,0.43,Grant,2400.0,,,,,,"Billing, Information Technology, Medical, Web Development",0,0,0,0,,,,,United States,,,1999.0,26.0,False,,,,,True,1,,
41.75,,Communications and Networking,Information Technology,,"Milton Keynes, United Kingdom",United Kingdom,2018-10-09,,Buyout/LBO,125.0,,,,,,"Broadcasting, Information Technology, Media and Entertainment",0,0,0,0,,,,,United Kingdom,,,2008.0,17.0,False,,,,,True,1,,
398.7,5664.0,Chemicals and Gases,Materials and Resources,Manufacturing,"Berlin, Germany",Germany,2025-03-31,10.0,Debt - General,4000.0,,,,,,"Advertising, Advertising Platforms, Data Mining, Hardware, Outdoor Advertising",0,0,0,0,,,,,Germany,,,2017.0,8.0,False,,,,,True,1,,
93.29,91.73,Healthcare Devices and Supplies,Healthcare,Manufacturing,"Valence, France",France,2018-09-19,91.73,Buyout/LBO,400.0,,,,r_00050000,,"Fitness, Health Care, Manufacturing, Medical Device",0,0,0,0,,,,,France,,,1986.0,39.0,False,,,,,True,1,,
12.53,,Commercial Services,Business Products and Services (B2B),,"Charlotte, NC",United States,2025-04-30,3.2,Debt - Acquisition,56.0,,,,,,Customer Service,0,0,0,0,,,,,United States,,,2019.0,6.0,False,,,,,True,1,,
